032,1.000000,0.454545,2942,5,47,27
034,0.600000,0.600000,3022,10,48,6
035,0.900000,0.600000,3411,10,30,5
036,0.909091,0.909091,3626,11,25,5
038,0.777778,0.777778,2975,9,35,3
039,0.250000,0.076923,2476,4,57,25
043,0.800000,0.307692,2727,5,55,19
045,0.500000,0.285714,2911,4,54,7
046,1.000000,0.272727,2886,3,55,10
055,0.833333,0.714286,3078,12,25,3
056,1.000000,0.166667,2877,1,71,63
058,0.500000,0.277778,2954,10,53,2
061,0.461538,0.400000,3112,13,34,9
064,0.750000,0.857143,2738,8,31,2
065,0.727273,0.470588,3667,11,39,3
069,1.000000,0.888889,3793,8,33,1
070,0.833333,0.555556,2336,6,30,3
074,0.636364,0.318182,3025,11,54,3
081,0.600000,0.250000,2739,5,37,5
132,0.333333,0.083333,2619,6,65,15
